period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
2015-02-01,2015-02-28,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,214582.0,0.0085435434711647,0.0662714028491273,248049.0,0.0711645347341487,0.0734544714849605,117.0,-0.0021230890308699,0.0511376850284164,131.0,0.0411780720660483,0.0595985370629681,328216.0,0.0880614374398311,0.0794312717761254,273295.0,0.1212463411648432,0.183443705940635,510769.0,0.0250858913269711,0.0667868827067579,1697047.0,0.0072162405794231,-0.0024114328470936,5.170517972418173,-0.4150166831205517,-0.4241920858950702,76.0,0.0,-2.0,0.9707943438226913,0.0028241674598379,0.000244780335549,0.1802282140291069,0.0146833104893737,-0.0105418093302832,0.0847338462814095,-0.0097290338105795,0.0238203447356726,0.3994003630032528,0.0776556952445829,0.0280699328366703,,,2022-01-09 14:33:38
2016-08-01,2016-08-31,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,227655.756803927,0.0058803732383829,0.049166183308509,236670.227944043,0.0116097093655398,0.0761498361216748,141.867107949585,0.0111341736702663,0.0466926003995415,146.688800330758,0.0058254175166243,0.0584284541550088,45243.4131305924,0.014947265700693,0.057713852067222,,,,51703.0012299499,-0.0404143311473591,-0.018404253644795,,,,2.89447671089943,-0.02839117160029,-0.4551155144670597,42.5157744832282,-1.0,-4.0,,,,0.237112613100764,0.007550787940736,0.022850788118533,,,,0.387412496325295,-0.0004106359907349,0.016273281197789,,,2022-01-09 00:00:00
2012-07-01,2012-07-31,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,,,,192297.1779663,0.0026812374829041,,100.879718774041,0.0054728580125364,,105.537940396732,-0.0006682011546577,,,,,260636.233602398,0.0168836332199031,,,,,,,,,,,78.50462527444908,0.0,,0.967504158007312,0.000903322121023,,,,,0.0555427264787001,-0.0011122182072258,,,,,,,2022-01-09 00:00:00
2021-02-01,2021-02-28,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,350387.0,0.0231363246102824,0.1622260314909367,378463.0,0.0587878521008213,0.1283959786246482,178.0,0.0165511812421075,0.167932535933172,190.0,0.040093122730741,0.152296969352764,327834.0,-0.0103471673263509,0.0449720388031851,328860.0,0.0280696729900118,0.1402313214629202,370004.0,0.0215325532176804,-0.1692921273363289,492917.0,-0.0665547747492376,-0.5016319289668913,1.5035556238945988,-0.0905369291740045,-1.649081306673841,31.0,-1.0,-26.0,1.0000077766961164,0.0046448439075905,0.0187700954777142,0.3829269505002229,0.0297980309365669,0.1631682906958262,0.0621196004828802,-0.0232130330790901,-0.0531037785793833,0.5808370678593399,0.0806447282146768,0.1080719920402264,,,2022-01-09 14:33:38
2016-12-01,2016-12-31,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,236044.641288194,0.0105433151684424,0.0747254474700358,236187.683324039,-0.0336972647393128,0.0654919034653973,144.487718458841,-0.0035704877090514,0.0526250968614139,148.331645457873,-0.0056253584516947,0.0683799831675999,45714.1170189185,0.0028221209608423,0.0477797035161455,,,,54833.1467514344,0.0450556943246156,0.0557070087361504,,,,2.70127152359329,-0.0311627047807001,-0.52955972425978,40.392709207340495,-1.0,-4.0,,,,0.237930798948836,0.005090417916444,0.014113126113242,,,,0.417501646689351,0.017649892227982,0.050069138015949,,,2022-01-09 00:00:00
2013-09-01,2013-09-30,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,209818.0,-0.0293208199085205,0.121589054033171,218432.0,0.0113565619978097,0.1158852478375729,115.0,-0.0171707830715309,0.1184202641439178,120.0,0.0227080968989628,0.1172993075154027,447143.0,-0.1670513135522769,0.1446151330832661,318838.0,-0.1536704641270001,0.2217272813272368,546210.0,-0.10182150362337,0.149842491683386,1983971.0,0.0025045273298154,-0.0081731659507214,4.436991979814342,0.7504384126107939,-0.6835068725208497,58.0,4.0,-14.0,0.9757035984161114,-0.0025378192962316,0.0058720112826031,0.2181375776254943,-0.0138037692202762,0.0140068032098175,0.0716417673604459,0.0049983667347238,0.0140248413466085,0.2765743783044976,-0.0129450941492159,-0.0199759149016881,,,2022-01-09 14:33:38
2014-04-01,2014-04-30,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,221188.0,0.0787238000365746,0.172792782735889,232933.0,-0.0325094142933656,0.0694607351374421,102.0,0.0652892155836313,0.1394406640193006,106.0,-0.0365261883181555,0.0679187328428245,7836.0,0.1560730607122955,-0.0092055957206563,6318.0,0.0710434397485946,-0.0320468424688283,13477.0,0.1050392212614121,-0.0083864405270013,44947.0,0.0458523003904567,0.0256253572075115,5.735965451202134,-0.6045045490412608,0.1947973899284125,63.0,-12.0,-5.0,0.955113012944831,0.0051860775713721,-0.0016828180105821,0.2186129262538754,0.0138073192485346,-0.031503389578048,0.0614180467099412,0.007757087972108,0.0211897646199107,0.3122289341500232,-0.0079246730533809,-0.018497567356252,,,2022-01-09 14:33:38
2013-04-01,2013-04-30,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,167136.0,0.0228901218992552,0.1332209617585888,189186.0,0.0360664044381657,0.1715519469421713,141.0,0.0123845486953169,0.1232059293641492,160.0,0.0354133271539203,0.156527303385239,54998.0,0.0840365801400657,0.1148700898632324,45449.0,0.1754126867846632,0.251239786016131,76914.0,0.1141676782046436,0.1327447437739945,212108.0,0.0303013529568498,-0.1893561875008029,3.856635323823526,-0.2011422917127356,-1.4473555334990411,62.0,-6.0,-26.0,0.9732677917763084,0.0016260157610947,0.0138174298086674,0.2246623358184956,0.0080234435649883,0.0621023571317872,0.0492112467235284,0.0027280415437666,-0.0126493597983602,0.3631136975791599,-0.0235783127648515,0.0664070666840245,,,2022-01-09 14:33:38
2015-12-01,2015-12-31,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,234372.0,0.0003615968704546,0.07718135178678,220696.0,-0.0865469991180772,0.0413449958177607,115.0,0.0292038642849983,0.1830497401713733,106.0,-0.0911875996594767,0.0721257767417351,9296.0,0.2312008782894361,0.0992351401463711,5913.0,-0.0865971948957804,0.1098639511923345,7490.0,-0.2310909325486014,0.0247635026394654,40175.0,-0.1116455577230778,-0.0679635503504012,4.321569789665693,-1.6678419444480808,-0.7752495194733688,58.0,3.0,-15.0,0.9519009996976672,0.0026423763358152,0.001368457480078,0.1959678492977152,-0.0010066149686155,0.0124880241670272,0.0709414182501058,-0.0122703546954897,0.0189817006835894,0.2584630681846504,-0.0330565938003921,0.0502953405324071,,,2022-01-09 14:33:38
2017-07-01,2017-07-31,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,234367.562883105,0.0133069925632169,0.0645746015021135,245599.149147758,0.0016404958354077,0.0516773908494876,,,,208.872307555019,0.0086307220135937,0.0543070152444555,,,,52562.5692876679,0.0114778106214323,0.0749577561310632,,,,161828.899936974,-0.0131586130959199,-0.1335000435448892,2.76521497610524,0.01031019110221,-0.4458220453087999,38.867846983155694,-2.0,-8.0,,,,0.224920456561744,-0.0038150075072269,0.0267323438642169,0.0948652882699334,0.0031114788200366,-0.0042785717710552,0.397140445930574,-0.0013817780775989,0.036943638124167,,,2022-01-09 00:00:00
